,Vehicles,Pedestrians
7:00,703,61
7:15,666,38
7:30,684,86
7:45,732,55
8:00,577,38
8:15,661,52
8:30,574,38
8:45,562,33
9:00,455,4
9:15,525,17
9:30,476,22
9:45,474,16
10:00,468,10
10:15,510,8
10:30,437,10
10:45,426,13
11:00,408,16
11:15,564,23
11:30,538,33
11:45,543,42
12:00,513,21
12:15,492,11
12:30,494,20
12:45,511,14
13:00,466,17
13:15,489,32
13:30,512,8
13:45,537,37
14:00,580,49
14:15,555,17
14:30,683,40
14:45,741,22
15:00,558,28
15:15,588,32
15:30,620,36
15:45,609,60
16:00,653,38
16:15,690,58
16:30,664,32
16:45,660,20
17:00,674,28
17:15,724,43
17:30,781,43
17:45,842,12
