,Saratoga St West,,Bennington St North,,Saratoga St East,,Bennington St South,
,Vehicles,Pedestrians,Vehicles,Pedestrians,Vehicles,Pedestrians,Vehicles,Pedestrians
7:00,91,34,255,16,278,10,79,1
7:15,86,14,247,14,240,8,93,2
7:30,86,45,263,24,213,13,122,4
7:45,78,23,249,14,308,12,97,6
8:00,45,10,206,12,240,11,86,5
8:15,60,15,212,24,291,8,98,5
8:30,34,14,195,14,259,6,86,4
8:45,37,9,199,16,244,3,82,5
9:00,52,2,139,0,192,0,72,2
9:15,57,10,107,5,256,0,105,2
9:30,67,6,107,6,206,10,96,0
9:45,69,4,100,3,203,6,102,3
10:00,52,2,111,6,210,2,95,0
10:15,63,1,114,4,218,1,115,2
10:30,82,1,83,7,165,0,107,2
10:45,59,2,87,10,165,1,115,0
11:00,86,5,57,5,174,5,91,1
11:15,103,12,102,5,229,4,130,2
11:30,101,9,94,13,203,6,140,5
11:45,105,19,89,12,208,9,141,2
12:00,86,1,100,9,189,7,138,4
12:15,77,0,103,2,175,2,137,7
12:30,88,5,105,8,166,1,135,6
12:45,78,3,135,4,164,3,134,4
13:00,87,12,89,3,165,1,125,1
13:15,101,12,91,10,170,7,127,3
13:30,108,6,97,2,180,0,127,0
13:45,88,15,123,10,192,10,134,2
14:00,90,16,110,8,219,16,161,9
14:15,77,3,91,10,229,2,158,2
14:30,109,7,101,3,241,16,232,14
14:45,121,5,125,4,254,12,241,1
15:00,72,5,114,9,196,14,176,0
15:15,77,9,119,13,207,9,185,1
15:30,87,9,136,9,186,4,211,14
15:45,81,30,125,8,181,8,222,14
16:00,80,10,122,16,215,7,236,5
16:15,102,12,135,28,209,10,244,8
16:30,91,4,106,15,207,6,260,7
16:45,101,7,91,8,192,2,276,3
17:00,101,5,92,7,221,7,260,9
17:15,116,7,91,8,216,16,301,12
17:30,104,12,99,19,232,9,346,3
17:45,113,5,125,7,248,0,356,0
